Category: All categories

Week,Physician: (Panama),Hospital: (Panama),Pharmacy: (Panama),Symptom: (Panama)
2023-06-04,15,19,9,30
2023-06-11,13,18,9,29
2023-06-18,13,16,9,30
2023-06-25,13,17,10,28
2023-07-02,12,17,8,28
2023-07-09,12,16,8,25
2023-07-16,13,15,9,25
2023-07-23,13,16,8,24
2023-07-30,13,17,9,24
2023-08-06,14,16,9,26
2023-08-13,13,15,9,23
2023-08-20,13,15,10,23
2023-08-27,13,17,9,23
2023-09-03,14,16,10,23
2023-09-10,13,17,10,25
2023-09-17,14,16,9,24
2023-09-24,11,16,8,23
2023-10-01,14,16,9,23
2023-10-08,13,16,7,23
2023-10-15,11,18,9,26
2023-10-22,10,14,8,21
2023-10-29,9,14,8,22
2023-11-05,11,14,7,24
2023-11-12,11,14,9,23
2023-11-19,11,13,8,23
2023-11-26,11,15,9,23
2023-12-03,10,14,7,24
2023-12-10,10,14,8,26
2023-12-17,10,13,8,23
2023-12-24,9,15,8,26
2023-12-31,10,16,8,27
