Category: All categories

Week,Physician: (Italy),Hospital: (Italy),Pharmacy: (Italy),Symptom: (Italy)
2021-08-08,16,12,40,27
2021-08-15,16,12,38,27
2021-08-22,16,12,31,27
2021-08-29,18,12,30,24
2021-09-05,18,13,30,23
2021-09-12,20,13,31,22
2021-09-19,21,13,31,22
2021-09-26,21,13,30,23
2021-10-03,20,12,30,21
2021-10-10,20,13,41,22
2021-10-17,16,13,35,21
2021-10-24,11,12,30,22
2021-10-31,11,12,34,22
2021-11-07,12,13,28,24
2021-11-14,11,13,29,26
2021-11-21,11,12,29,23
2021-11-28,11,12,29,24
2021-12-05,11,11,36,24
2021-12-12,12,11,34,26
2021-12-19,12,11,73,37
2021-12-26,13,12,100,56
2022-01-02,18,14,89,49
2022-01-09,18,15,62,39
2022-01-16,17,13,50,33
2022-01-23,15,13,44,30
2022-01-30,14,12,32,28
2022-02-06,13,13,26,27
2022-02-13,13,13,22,26
2022-02-20,11,12,21,22
2022-02-27,12,13,22,23
2022-03-06,12,17,24,24
2022-03-13,12,14,25,31
2022-03-20,12,16,27,33
2022-03-27,13,13,25,31
2022-04-03,13,14,25,30
2022-04-10,11,12,27,29
2022-04-17,11,12,36,31
2022-04-24,12,12,30,27
2022-05-01,12,13,22,26
2022-05-08,11,12,23,28
2022-05-15,10,12,23,28
2022-05-22,11,12,22,28
2022-05-29,10,12,27,26
2022-06-05,11,13,23,27
2022-06-12,11,13,23,27
2022-06-19,11,13,27,32
2022-06-26,12,13,28,32
2022-07-03,10,13,35,34
2022-07-10,8,13,34,35
2022-07-17,11,14,31,33
2022-07-24,11,13,30,32
2022-07-31,10,12,29,31
2022-08-07,7,11,29,30
2022-08-14,8,10,35,28
2022-08-21,8,12,24,29
2022-08-28,11,12,20,25
2022-09-04,11,13,20,23
2022-09-11,12,12,20,24
2022-09-18,12,12,22,23
2022-09-25,12,13,22,23
2022-10-02,14,13,24,25
2022-10-09,12,13,24,26
2022-10-16,13,13,24,27
2022-10-23,14,13,23,27
2022-10-30,11,13,26,26
2022-11-06,13,12,20,25
2022-11-13,15,13,23,26
2022-11-20,14,11,22,24
2022-11-27,14,11,23,26
2022-12-04,14,10,30,27
2022-12-11,14,16,24,29
2022-12-18,13,18,24,28
2022-12-25,14,19,34,30
2023-01-01,15,21,28,30
2023-01-08,18,25,21,30
2023-01-15,17,23,19,25
2023-01-22,16,24,18,27
2023-01-29,16,24,20,26
2023-02-05,15,21,18,23
2023-02-12,14,24,19,27
2023-02-19,15,25,20,29
2023-02-26,15,25,20,27
2023-03-05,17,25,22,29
2023-03-12,17,24,22,28
2023-03-19,18,26,23,31
2023-03-26,19,25,24,29
2023-04-02,17,24,22,27
2023-04-09,16,23,27,27
2023-04-16,18,25,23,26
2023-04-23,15,23,28,27
2023-04-30,16,23,27,26
2023-05-07,17,24,22,26
2023-05-14,16,23,21,25
2023-05-21,17,25,23,28
2023-05-28,16,22,29,26
2023-06-04,17,25,24,25
2023-06-11,16,24,23,26
2023-06-18,17,24,24,25
2023-06-25,18,23,25,28
2023-07-02,17,24,24,25
2023-07-09,17,23,24,24
2023-07-16,16,23,24,22
2023-07-23,16,21,24,22
2023-07-30,15,21,24,24
2023-08-06,15,21,26,24
2023-08-13,13,17,34,25
2023-08-20,16,21,26,24
2023-08-27,16,19,21,24
2023-09-03,20,24,23,25
2023-09-10,19,25,22,25
2023-09-17,19,24,21,25
2023-09-24,21,25,22,24
2023-10-01,22,25,23,26
2023-10-08,20,26,23,27
2023-10-15,20,28,23,24
2023-10-22,19,25,22,24
2023-10-29,18,21,25,23
2023-11-05,20,23,22,24
2023-11-12,22,24,22,25
2023-11-19,19,23,23,25
2023-11-26,20,22,23,25
2023-12-03,19,23,29,25
2023-12-10,19,23,27,28
2023-12-17,19,21,28,27
2023-12-24,15,18,51,31
2023-12-31,18,19,37,27
