country,country_code,indicator_name,indicator_code,year,value
Dominican Republic,DOM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2019,1.433
Dominican Republic,DOM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,27.9439906771072
Dominican Republic,DOM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,65.4731826616995
Dominican Republic,DOM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,6.58282666119334
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,2019,226.02677454385056
Dominican Republic,DOM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2019,0.8
Dominican Republic,DOM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,1.0
Dominican Republic,DOM,Rural population,SP.RUR.TOTL,2019,1979665.0
Dominican Republic,DOM,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,79.0
Dominican Republic,DOM,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,80.0
Germany,DEU,"Compulsory education, duration (years)",SE.COM.DURS,2019,13.0
Germany,DEU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,11.71550655
Germany,DEU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.54
Germany,DEU,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,6.1
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,88.1345
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,81.29268292682927
Germany,DEU,Net migration,SM.POP.NETM,2019,319082.0
Germany,DEU,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.0
Germany,DEU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,99.9999995489977
Germany,DEU,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,99.2253840840528
Germany,DEU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,99.9093444594773
Germany,DEU,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,96.8705960796567
Germany,DEU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,13.6625971101334
Germany,DEU,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,64.709009583285
Germany,DEU,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,21.6283933065816
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,2019,237.82295429176565
Germany,DEU,Rural population,SP.RUR.TOTL,2019,18798952.0
Germany,DEU,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,91.0
Germany,DEU,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,69.0
Italy,ITA,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,2600.0
Italy,ITA,"Compulsory education, duration (years)",SE.COM.DURS,2019,12.0
Italy,ITA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,8.66
Italy,ITA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.27
Italy,ITA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,6.1
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,67.8507
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,83.49756097560977
Italy,ITA,Net migration,SM.POP.NETM,2019,46634.0
Italy,ITA,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,2019,6.445
Italy,ITA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.0
Italy,ITA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,99.9170340740928
Italy,ITA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,99.8852240140235
Italy,ITA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,93.2241567870465
Italy,ITA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,79.0189612379409
Italy,ITA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2019,4.051
Italy,ITA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,13.0238937094704
Italy,ITA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,63.8719351973526
Italy,ITA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,23.104171093177
Italy,ITA,Population density (people per sq. km of land area),EN.POP.DNST,2019,201.9805455891951
Italy,ITA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,0.2
Italy,ITA,Rural population,SP.RUR.TOTL,2019,17479118.0
Italy,ITA,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,87.0
Mexico,MEX,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,19000.0
Mexico,MEX,"Compulsory education, duration (years)",SE.COM.DURS,2019,14.0
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.916
Mexico,MEX,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,23.0
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,69.6321
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,74.202
Mexico,MEX,Net migration,SM.POP.NETM,2019,-169628.0
Mexico,MEX,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.892243800654402
Mexico,MEX,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,99.1153530172831
Mexico,MEX,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,90.7765580654672
Mexico,MEX,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,42.7827436572252
Mexico,MEX,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,55.0519335207361
Mexico,MEX,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,2019,92.845159353106
Mexico,MEX,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,26.3467733838135
Mexico,MEX,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,66.3185850415085
Mexico,MEX,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,7.33464157467799
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,2019,64.69455592993647
Mexico,MEX,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,0.4
Mexico,MEX,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,2019,6.3
Mexico,MEX,Rural population,SP.RUR.TOTL,2019,24594209.0
Mexico,MEX,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,81.0
Mexico,MEX,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,72.0
Panama,PAN,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,1300.0
Panama,PAN,"Compulsory education, duration (years)",SE.COM.DURS,2019,11.0
Panama,PAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,2.375
Panama,PAN,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,37.0
Panama,PAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,63.6284
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,77.81
Panama,PAN,Net migration,SM.POP.NETM,2019,10623.0
Panama,PAN,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,4.35983722871473
Panama,PAN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,94.182498815948
Panama,PAN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,83.3785517603304
Panama,PAN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,26.7423044439624
Panama,PAN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,65.1881520310586
Panama,PAN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,8.06954352497892
Panama,PAN,Population density (people per sq. km of land area),EN.POP.DNST,2019,57.08681585332974
Panama,PAN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,1.0
Panama,PAN,Rural population,SP.RUR.TOTL,2019,1352606.0
Panama,PAN,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,80.0
Panama,PAN,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,83.0
United States,USA,"Compulsory education, duration (years)",SE.COM.DURS,2019,12.0
United States,USA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,16.66580582
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.706
United States,USA,Gini index,SI.POV.GINI,2019,41.5
United States,USA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,2.9
United States,USA,Income share held by highest 10%,SI.DST.10TH.10,2019,30.3
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,89.4303
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,78.78780487804877
United States,USA,Net migration,SM.POP.NETM,2019,1774500.0
United States,USA,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,2019,13.16
United States,USA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.0
United States,USA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,99.7446309234849
United States,USA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,99.6844350554525
United States,USA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,97.0093298983949
United States,USA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,97.113840693715
United States,USA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,18.6084404882877
United States,USA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,65.718674264212
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,15.6728852475003
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,2019,35.8931756713915
United States,USA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2019,1.0
United States,USA,Rural population,SP.RUR.TOTL,2019,57592357.0
United States,USA,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,87.0
United States,USA,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,75.0
Uruguay,URY,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,1000.0
Uruguay,URY,"Compulsory education, duration (years)",SE.COM.DURS,2019,14.0
Uruguay,URY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.546
Uruguay,URY,Gini index,SI.POV.GINI,2019,39.7
Uruguay,URY,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,36.0
Uruguay,URY,Income share held by highest 10%,SI.DST.10TH.10,2019,29.7
Uruguay,URY,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,83.3515
Uruguay,URY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,77.508
Uruguay,URY,Net migration,SM.POP.NETM,2019,-2899.0
Uruguay,URY,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.27654358325958
Uruguay,URY,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,99.4872379896577
Uruguay,URY,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,97.7678001669948
Uruguay,URY,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,20.1749643935287
Uruguay,URY,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,64.6984116798351
Uruguay,URY,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,15.1266239266362
Uruguay,URY,Population density (people per sq. km of land area),EN.POP.DNST,2019,19.410387384298936
Uruguay,URY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2019,0.1
Uruguay,URY,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,0.6
Uruguay,URY,Rural population,SP.RUR.TOTL,2019,155388.0
Uruguay,URY,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,87.0
Uruguay,URY,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,73.0
Brazil,BRA,"Compulsory education, duration (years)",SE.COM.DURS,2020,14.0
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2020,1.649
Brazil,BRA,Gini index,SI.POV.GINI,2020,48.9
Brazil,BRA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2020,45.0
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,2020,39.5
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2020,81.3427
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,74.009
Brazil,BRA,Net migration,SM.POP.NETM,2020,-78437.0
Brazil,BRA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2020,0.30412818244418
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2020,99.3208587959277
Brazil,BRA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2020,90.0784764801568
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2020,85.9216178835864
Brazil,BRA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2020,48.7063179315612
Brazil,BRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2020,20.7566949222876
Brazil,BRA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2020,69.6446402012395
Brazil,BRA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2020,9.59866487647293
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,2020,24.964985271842778
Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2020,2.0
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2020,0.6
Brazil,BRA,Rural population,SP.RUR.TOTL,2020,26973587.0
Brazil,BRA,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2020,80.0
Brazil,BRA,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2020,67.0
Chile,CHL,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2020,4400.0
Chile,CHL,"Compulsory education, duration (years)",SE.COM.DURS,2020,12.0
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,9.72726822
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2020,1.537
Chile,CHL,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2020,14.0
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2020,87.4593
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,79.377
Chile,CHL,Net migration,SM.POP.NETM,2020,26042.0
Chile,CHL,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,2020,4.306
Chile,CHL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2020,0.0
Chile,CHL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2020,100.0
Chile,CHL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2020,100.0
Chile,CHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2020,98.7713706847373
Chile,CHL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2020,95.2628448029614
Chile,CHL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2020,2.808
Chile,CHL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2020,18.4128141664409
Chile,CHL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2020,68.9603700944275
Chile,CHL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2020,12.6268157391316
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,2020,26.052172603196635
Chile,CHL,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2020,0.6
Chile,CHL,Rural population,SP.RUR.TOTL,2020,2377357.0
Chile,CHL,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2020,87.0
Chile,CHL,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2020,77.0
Colombia,COL,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2020,8400.0
Colombia,COL,"Compulsory education, duration (years)",SE.COM.DURS,2020,12.0
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2020,1.737
Colombia,COL,Gini index,SI.POV.GINI,2020,53.5
Colombia,COL,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2020,34.0
Colombia,COL,Income share held by highest 10%,SI.DST.10TH.10,2020,41.8
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2020,69.7953
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,74.769
Colombia,COL,Net migration,SM.POP.NETM,2020,227130.0
Colombia,COL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2020,2.82621488861657
Colombia,COL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2020,97.0410236613368
Colombia,COL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2020,93.0127700372276
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2020,73.413231097311
Colombia,COL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2020,18.1713637419349
Colombia,COL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,2020,69.8701790353322
Colombia,COL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2020,21.6647057902778
Colombia,COL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2020,69.8711687670931
Colombia,COL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2020,8.46412544262915
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,2020,45.63316538981523
Colombia,COL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2020,9.4
Colombia,COL,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2020,0.5
Colombia,COL,Rural population,SP.RUR.TOTL,2020,9404522.0
Colombia,COL,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2020,69.0
Colombia,COL,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2020,71.0
Dominican Republic,DOM,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2020,3700.0
Dominican Republic,DOM,"Compulsory education, duration (years)",SE.COM.DURS,2020,15.0
Dominican Republic,DOM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2020,2.303
Dominican Republic,DOM,Gini index,SI.POV.GINI,2020,39.6
Dominican Republic,DOM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2020,41.0
Dominican Republic,DOM,Income share held by highest 10%,SI.DST.10TH.10,2020,30.4
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,2020,81.6173
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,72.889
Dominican Republic,DOM,Net migration,SM.POP.NETM,2020,-17957.0
Dominican Republic,DOM,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,2020,1.893
