Category: All categories

Month,Virus: (Italy),Symptom: (Italy),Hospital: (Italy),Physician: (Italy)
2011-10,2,11,5,5
2011-11,3,11,6,5
2011-12,3,11,5,4
2012-01,3,13,6,6
2012-02,3,12,5,5
2012-03,3,12,6,5
2012-04,3,12,5,4
2012-05,3,13,6,5
2012-06,3,12,5,5
2012-07,5,12,6,5
2012-08,4,12,5,5
2012-09,4,12,6,6
2012-10,3,12,5,5
2012-11,3,11,6,5
2012-12,3,10,4,4
2013-01,3,12,5,5
2013-02,3,11,5,5
2013-03,3,11,5,5
2013-04,3,11,5,5
2013-05,3,12,5,5
2013-06,3,11,5,5
2013-07,2,12,5,5
2013-08,3,13,5,5
2013-09,3,12,5,5
2013-10,3,13,6,6
2013-11,3,12,5,5
2013-12,3,12,5,5
2014-01,3,14,6,6
2014-02,3,13,6,6
2014-03,3,15,6,6
2014-04,4,14,5,6
2014-05,3,14,6,6
2014-06,3,12,6,5
2014-07,4,13,6,6
2014-08,4,14,5,5
2014-09,3,12,6,6
2014-10,5,14,6,7
2014-11,3,14,6,6
2014-12,3,13,5,6
2015-01,3,15,6,7
2015-02,4,14,6,7
2015-03,3,14,6,7
2015-04,3,14,6,6
2015-05,3,14,6,6
2015-06,3,13,6,6
2015-07,3,13,6,6
2015-08,3,14,5,5
2015-09,3,14,6,7
2015-10,3,13,6,7
2015-11,3,14,6,6
2015-12,3,14,5,6
2016-01,5,14,6,7
2016-02,5,16,7,7
2016-03,3,14,6,7
2016-04,3,14,6,7
2016-05,3,14,6,6
2016-06,3,13,6,6
2016-07,3,14,6,6
2016-08,2,13,5,6
2016-09,2,12,6,8
2016-10,2,12,6,8
2016-11,2,14,11,11
2016-12,3,14,10,10
2017-01,3,15,16,13
2017-02,2,16,18,12
2017-03,2,14,18,12
2017-04,3,14,17,11
2017-05,2,14,18,12
2017-06,2,14,17,11
2017-07,2,14,17,11
2017-08,2,14,15,10
2017-09,2,13,17,11
2017-10,2,14,17,12
2017-11,2,14,18,12
2017-12,2,13,11,10
2018-01,3,15,4,14
2018-02,2,15,12,13
2018-03,2,15,12,15
2018-04,2,14,11,15
2018-05,2,13,5,16
2018-06,2,14,9,15
2018-07,2,14,14,15
2018-08,2,14,15,14
2018-09,2,14,17,13
2018-10,2,13,17,11
2018-11,2,12,18,13
2018-12,2,12,15,11
2019-01,3,13,19,14
2019-02,3,14,18,15
2019-03,2,13,14,15
2019-04,2,13,10,11
2019-05,2,13,10,11
2019-06,2,12,12,12
2019-07,2,13,11,12
2019-08,2,14,10,12
2019-09,2,14,11,15
2019-10,2,13,12,14
2019-11,2,13,11,13
2019-12,2,13,10,12
2020-01,18,20,12,16
2020-02,70,28,13,16
2020-03,100,42,16,20
2020-04,28,17,11,14
2020-05,17,15,10,13
2020-06,9,15,11,13
2020-07,7,15,11,14
2020-08,8,19,10,16
2020-09,6,18,11,19
2020-10,10,22,11,20
2020-11,8,23,10,17
2020-12,7,19,8,15
2021-01,6,19,9,17
2021-02,5,20,9,19
2021-03,5,22,9,19
2021-04,5,21,10,15
2021-05,4,20,10,15
2021-06,4,19,10,14
2021-07,4,21,10,14
2021-08,4,22,10,13
2021-09,3,19,11,16
2021-10,4,17,10,13
2021-11,5,18,10,9
2021-12,5,26,9,10
2022-01,6,32,11,14
2022-02,3,20,10,10
2022-03,3,23,12,10
2022-04,3,23,10,9
2022-05,3,23,10,9
2022-06,3,24,10,9
2022-07,4,27,10,8
2022-08,4,24,9,7
2022-09,2,19,10,10
2022-10,3,22,11,11
2022-11,3,21,10,11
2022-12,4,22,12,10
2023-01,3,22,19,14
2023-02,3,22,19,12
2023-03,4,23,21,14
2023-04,3,22,19,13
2023-05,3,21,19,15
2023-06,3,20,19,13
2023-07,3,20,18,13
2023-08,3,20,16,12
2023-09,3,20,19,16
2023-10,3,20,20,16
2023-11,4,20,20,16
2023-12,4,22,17,15
2024-01,4,20,20,14
2024-02,3,18,19,11
2024-03,4,20,20,13
2024-04,3,19,19,14
2024-05,3,19,19,14
2024-06,3,18,18,13
2024-07,4,19,19,13
2024-08,4,20,17,12
2024-09,3,16,18,16
2024-10,4,19,19,17
2024-11,3,19,18,16
2024-12,4,17,16,14
2025-01,6,18,19,17
2025-02,4,17,19,17
2025-03,3,17,17,13
